7.00	13.00	28.00	1
7.00	14.00	27.00	1
7.00	16.00	28.00	1
0.00	18.00	27.00	1
8.00	23.00	28.00	1
0.00	17.00	0.00	1
18.00	11.00	25.00	1
13.00	25.00	27.00	1
12.00	17.00	24.00	1
16.00	17.00	23.00	1
14.00	18.00	24.00	1
14.00	15.00	42.00	1
17.00	10.00	40.00	1
18.00	10.00	41.00	1
16.00	13.00	42.00	1
3.00	7.00	41.00	1
18.00	0.00	40.00	1
18.00	16.00	38.00	1
16.00	22.00	41.00	1
17.00	19.00	42.00	1
15.00	16.00	42.00	1
19.00	4.00	26.00	1
17.00	8.00	30.00	1
17.00	11.00	25.00	1
15.00	10.00	27.00	1
19.00	28.00	23.00	2
18.00	31.00	22.00	2
16.00	32.00	0.00	2
8.00	31.00	25.00	2
14.00	33.00	0.00	2
20.00	35.00	19.00	2
19.00	35.00	21.00	2
25.00	0.00	25.00	2
16.00	29.00	18.00	2
19.00	36.00	14.00	2
19.00	33.00	9.00	2
21.00	30.00	11.00	2
21.00	34.00	20.00	2
21.00	34.00	7.00	2
23.00	40.00	15.00	2
14.00	29.00	22.00	2
0.00	29.00	23.00	2
15.00	25.00	0.00	2
13.00	22.00	10.00	2
17.00	28.00	19.00	2
14.00	32.00	20.00	2
28.00	31.00	0.00	2
25.00	28.00	16.00	2
24.00	18.00	19.00	2
24.00	21.00	7.00	2
28.00	15.00	18.00	2
23.00	30.00	16.00	2
24.00	29.00	20.00	2
13.00	27.00	20.00	2
16.00	27.00	0.00	2
16.00	28.00	21.00	2
16.00	27.00	21.00	2
18.00	27.00	15.00	2
16.00	27.00	20.00	2
18.00	27.00	8.00	2
13.00	20.00	18.00	3
16.00	30.00	0.00	3
20.00	26.00	23.00	3
23.00	25.00	0.00	3
20.00	23.00	19.00	3
20.00	21.00	18.00	3
21.00	22.00	16.00	3
15.00	20.00	0.00	3
10.00	17.00	14.00	3
9.00	17.00	16.00	3
6.00	20.00	19.00	3
6.00	25.00	15.00	3
2.00	23.00	13.00	3
15.00	23.00	0.00	3
11.00	29.00	0.00	3
7.00	18.00	15.00	3
10.00	12.00	21.00	3
0.00	10.00	22.00	3
5.00	16.00	20.00	3
7.00	13.00	20.00	3
2.00	13.00	20.00	3
13.00	7.00	20.00	3
1.00	22.00	18.00	3
7.00	22.00	0.00	3
6.00	21.00	13.00	3
11.00	18.00	21.00	3
6.00	19.00	0.00	3
11.00	18.00	5.00	3
15.00	15.00	0.00	3
0.00	22.00	21.00	3
0.00	16.00	20.00	3
7.00	15.00	16.00	3
